Date,Close/Last,Volume,Open,High,Low
3/2/2020,$69.11 ,89074560,$69.23 ,$69.40 ,$65.25 
2/28/2020,$67.52 ,113467520,$60.61 ,$68.12 ,$60.45 
2/27/2020,$63.15 ,90641480,$63.73 ,$66.75 ,$62.22 
2/26/2020,$66.91 ,74966160,$65.52 ,$68.86 ,$65.50 
2/25/2020,$65.51 ,105549760,$69.08 ,$69.70 ,$64.49 
2/24/2020,$68.32 ,85691480,$67.55 ,$70.47 ,$67 
2/21/2020,$73.52 ,76929320,$76.05 ,$76.30 ,$72.67 
2/20/2020,$77.18 ,81005040,$78.19 ,$79.08 ,$74.09 
2/19/2020,$78.68 ,69433120,$75.37 ,$78.85 ,$75.37 
2/18/2020,$74.14 ,62188120,$71.41 ,$74.33 ,$71.22 
2/14/2020,$72.45 ,104192360,$71.82 ,$73.74 ,$71.50 
2/13/2020,$67.70 ,52801520,$67.55 ,$68.37 ,$67.28 
2/12/2020,$68.14 ,37464472,$67.50 ,$68.20 ,$67.11 
2/11/2020,$66.97 ,63855680,$66.83 ,$68.13 ,$66.21 
2/10/2020,$65.74 ,52960760,$63.13 ,$65.75 ,$63.08 
2/7/2020,$62.90 ,18975212,$63.16 ,$63.38 ,$62.64 
2/6/2020,$63.56 ,21828204,$63.04 ,$63.56 ,$62.22 
2/5/2020,$62.69 ,20822008,$63.00 ,$63.10 ,$61.85 
2/4/2020,$61.78 ,27154356,$61.51 ,$61.98 ,$61.01 
2/3/2020,$60.08 ,25592820,$58.93 ,$60.28 ,$58.86 
1/31/2020,$59.11 ,37041972,$60.99 ,$61.11 ,$58.69 
1/30/2020,$61.45 ,29050360,$60.40 ,$61.59 ,$59.85 
1/29/2020,$61.39 ,25945116,$61.85 ,$62.21 ,$60.99 
1/28/2020,$61.99 ,31097604,$60.71 ,$62.32 ,$60.18 
1/27/2020,$60.05 ,47053400,$59.56 ,$60.56 ,$58.06 
1/24/2020,$62.62 ,37351356,$64.38 ,$64.88 ,$62.08 
1/23/2020,$63.22 ,24451444,$62.93 ,$63.30 ,$62.04 
1/22/2020,$62.51 ,23923868,$62.44 ,$63.40 ,$62.25 
1/21/2020,$61.99 ,21791700,$61.95 ,$62.32 ,$61.64 
1/17/2020,$62.32 ,25379056,$62.43 ,$62.50 ,$61.84 
1/16/2020,$62.23 ,28419164,$61.93 ,$62.29 ,$61.69 
1/15/2020,$61.39 ,26310544,$61.95 ,$62.17 ,$61.13 
